Perturbation (%),Attack Category,Samples,RF TPR,RF TPR Drop,MLP TPR,MLP TPR Drop,MLP TPR Drop SD,MLP TPR Drop CI Low,MLP TPR Drop CI High
0,Generic,18871.0,0.9841767791849928,0.0,0.7527317047321287,0.0,0.0,0.0,0.0
0,Reconnaissance,3496.0,0.3603546910755149,0.0,0.4983409610983981,0.0,0.0,0.0,0.0
0,Shellcode,378.0,0.3941798941798942,0.0,0.471957671957672,0.0,0.0,0.0,0.0
0,Worms,44.0,0.409090909090909,0.0,0.4909090909090909,0.0,0.0,0.0,0.0
2,Analysis,677.0,0.7805022156573117,0.0,0.9453471196454948,0.0011816838995569,0.0012358346034476,-0.0003525614336313,0.0027159292327451
2,Backdoor,583.0,0.9077186963979416,0.0,0.9519725557461406,0.0003430531732418,0.0007670902152658,-0.0006092624356775,0.0012953687821612
2,DoS,4089.0,0.3424309122034727,-0.0003912937148447,0.7401809733431157,0.0033259965761799,0.002387422814745,0.0003620948520728,0.006289898300287
2,Exploits,11132.0,0.4659899389148401,-0.0008084800574919,0.6395616241466044,0.0068451311534315,0.00211380083,0.0042209215305017,0.0094693407763613
2,Fuzzers,6062.0,0.5957109864731112,0.0,0.4805344770702738,0.015473441108545,0.0028438616878271,0.0119428865257477,0.0190039956913422
2,Generic,18871.0,0.984144984367548,-3.1794817444730227e-05,0.7566000741879073,0.0038683694557787,0.0034552237566603,-0.0004211697017981,0.0081579086133555
2,Reconnaissance,3496.0,0.3602402745995423,-0.0001144164759725,0.5052059496567505,0.0068649885583523,0.002393192295578,0.0038939242260627,0.009836052890642
2,Shellcode,378.0,0.3941798941798942,0.0,0.4851851851851852,0.0132275132275132,0.0049492822576375,0.007083152821009,0.0193718736340174
2,Worms,44.0,0.4045454545454545,-0.0045454545454545,0.5045454545454546,0.0136363636363636,0.0203278907045435,-0.0116,0.0388727272727272
5,Analysis,677.0,0.7805022156573117,0.0,0.9453471196454948,0.0011816838995569,0.0012358346034476,-0.0003525614336313,0.0027159292327451
5,Backdoor,583.0,0.9077186963979416,0.0,0.9519725557461406,0.0003430531732418,0.0007670902152658,-0.0006092624356775,0.0012953687821612
5,DoS,4089.0,0.3424309122034727,-0.0003912937148447,0.7401809733431157,0.0033259965761799,0.002387422814745,0.0003620948520728,0.006289898300287
5,Exploits,11132.0,0.4659899389148401,-0.0008084800574919,0.6395616241466044,0.0068451311534315,0.00211380083,0.0042209215305017,0.0094693407763613
5,Fuzzers,6062.0,0.5957109864731112,0.0,0.4805344770702738,0.015473441108545,0.0028438616878271,0.0119428865257477,0.0190039956913422
5,Generic,18871.0,0.984144984367548,-3.1794817444730227e-05,0.7566000741879073,0.0038683694557787,0.0034552237566603,-0.0004211697017981,0.0081579086133555
5,Reconnaissance,3496.0,0.3602402745995423,-0.0001144164759725,0.5052059496567505,0.0068649885583523,0.002393192295578,0.0038939242260627,0.009836052890642
5,Shellcode,378.0,0.3941798941798942,0.0,0.4851851851851852,0.0132275132275132,0.0049492822576375,0.007083152821009,0.0193718736340174
