Seed,TTL Feature,Scale,Scale (%),RF Clean TPR,RF TPR,RF TPR Degradation,RF Evasion Rate,RF AUROC,RF AUPRC,MLP Clean TPR,MLP TPR,MLP TPR Degradation,MLP Evasion Rate,MLP AUROC,MLP AUPRC
123,dttl,0.0,0.0,0.6567546104297185,0.6567546104297185,0.0,0.3432453895702815,0.7967184102394109,0.8138934711336903,0.40110738551133857,0.40110738551133857,0.0,0.5988926144886614,0.6631622778253414,0.7444933737995101
123,dttl,0.02,2.0,0.6567546104297185,0.6564457778169946,0.00030883261272385276,0.3435542221830054,0.7965845885371828,0.8137872059441167,0.40110738551133857,0.4048795552810377,-0.0037721697696991296,0.5951204447189623,0.6646855189699539,0.7460156696145436
123,dttl,0.05,5.0,0.6567546104297185,0.6564457778169946,0.00030883261272385276,0.3435542221830054,0.7965845885371828,0.8137872059441167,0.40110738551133857,0.4048795552810377,-0.0037721697696991296,0.5951204447189623,0.664685940782837,0.7460159273700749
123,dttl,0.1,10.0,0.6567546104297185,0.6564457778169946,0.00030883261272385276,0.3435542221830054,0.7965845885371828,0.8137872059441167,0.40110738551133857,0.4048795552810377,-0.0037721697696991296,0.5951204447189623,0.6642492958854911,0.7458545706966497
123,dttl,0.15,15.0,0.6567546104297185,0.6564457778169946,0.00030883261272385276,0.3435542221830054,0.7965845885371828,0.8137872059441167,0.40110738551133857,0.4048795552810377,-0.0037721697696991296,0.5951204447189623,0.6640275203841448,0.745772738209905
2026,sttl,-0.15,-15.0,0.6753728050825024,0.6493646871966823,0.026008117885820137,0.3506353128033177,0.7938166309342962,0.8036223782429541,0.42865966646077824,0.42164475425747816,0.007014912203300083,0.5783552457425218,0.6388196489085927,0.7345374893767469
2026,sttl,-0.1,-10.0,0.6753728050825024,0.6493646871966823,0.026008117885820137,0.3506353128033177,0.7938166309342962,0.8036223782429541,0.42865966646077824,0.42449042618900557,0.004169240271772678,0.5755095738109944,0.6432996332165574,0.7387335424098963
2026,sttl,-0.05,-5.0,0.6753728050825024,0.6493646871966823,0.026008117885820137,0.3506353128033177,0.7938166309342962,0.8036223782429541,0.42865966646077824,0.42634342186534896,0.0023162445954292843,0.573656578134651,0.6472213292441829,0.7421145650401499
2026,sttl,-0.02,-2.0,0.6753728050825024,0.6493646871966823,0.026008117885820137,0.3506353128033177,0.7938178501672943,0.8036267014620209,0.42865966646077824,0.4277331686226066,0.0009264978381716693,0.5722668313773934,0.6495641382139221,0.7440552825843607
2026,sttl,0.0,0.0,0.6753728050825024,0.6753728050825024,0.0,0.3246271949174976,0.7966937086981095,0.8121621219407481,0.42865966646077824,0.42865966646077824,0.0,0.5713403335392218,0.6508620958048845,0.7450754663181771
2026,sttl,0.02,2.0,0.6753728050825024,0.6750198535251036,0.00035295155739878403,0.3249801464748963,0.7966184921575594,0.8122800969649355,0.42865966646077824,0.42894643960116474,-0.00028677314038649815,0.5710535603988353,0.6509370518051802,0.7451968329724927
2026,sttl,0.05,5.0,0.6753728050825024,0.6750198535251036,0.00035295155739878403,0.3249801464748963,0.7965680901385812,0.8122537090639181,0.42865966646077824,0.42907879643518926,-0.0004191299744110144,0.5709212035648107,0.6507336476708775,0.745094045650692
2026,sttl,0.1,10.0,0.6753728050825024,0.6750198535251036,0.00035295155739878403,0.3249801464748963,0.7965680901385812,0.8122537090639181,0.42865966646077824,0.42929939115856347,-0.0006397246977852267,0.5707006088414365,0.6505458330252957,0.7449805207527598
2026,sttl,0.15,15.0,0.6753728050825024,0.6750198535251036,0.00035295155739878403,0.3249801464748963,0.7965680901385812,0.8122537090639181,0.42865966646077824,0.4294096885202506,-0.0007500220594723328,0.5705903114797494,0.6501130184274101,0.7447715812581175
2026,dttl,-0.15,-15.0,0.6753728050825024,0.6753728050825024,0.0,0.3246271949174976,0.7966942163640743,0.8121626106527466,0.42865966646077824,0.39314391599752935,0.035515750463248896,0.6068560840024707,0.6377406226375497,0.7321178483792821
2026,dttl,-0.1,-10.0,0.6753728050825024,0.6753728050825024,0.0,0.3246271949174976,0.7966942163640743,0.8121626106527466,0.42865966646077824,0.40412953322156536,0.02453013323921288,0.5958704667784347,0.6424237308648982,0.7364824225266506
2026,dttl,-0.05,-5.0,0.6753728050825024,0.6753728050825024,0.0,0.3246271949174976,0.7966941624077974,0.8121625863717976,0.42865966646077824,0.4151813288626136,0.013478337598164636,0.5848186711373864,0.6462833253044804,0.7404964376737782
2026,dttl,-0.02,-2.0,0.6753728050825024,0.6753728050825024,0.0,0.3246271949174976,0.7966940425712045,0.8121625310400398,0.42865966646077824,0.4234977499338216,0.005161916526956634,0.5765022500661784,0.6497266139783126,0.74358982331578
2026,dttl,0.0,0.0,0.6753728050825024,0.6753728050825024,0.0,0.3246271949174976,0.7966937086981095,0.8121621219407481,0.42865966646077824,0.42865966646077824,0.0,0.5713403335392218,0.6508620958048845,0.7450754663181771
2026,dttl,0.02,2.0,0.6753728050825024,0.6753728050825024,0.0,0.3246271949174976,0.7966695699714539,0.8121653630557161,0.42865966646077824,0.43221124150710316,-0.0035515750463249174,0.5677887584928969,0.6519697585501323,0.7462737506182865
2026,dttl,0.05,5.0,0.6753728050825024,0.6753728050825024,0.0,0.3246271949174976,0.7966695699714539,0.8121653630557161,0.42865966646077824,0.43223330097944057,-0.0035736345186623275,0.5677666990205594,0.6519744706322841,0.7462806741763933
2026,dttl,0.1,10.0,0.6753728050825024,0.6753728050825024,0.0,0.3246271949174976,0.7966695699714539,0.8121653630557161,0.42865966646077824,0.43223330097944057,-0.0035736345186623275,0.5677666990205594,0.6507856889471313,0.7458295790395422
2026,dttl,0.15,15.0,0.6753728050825024,0.6753728050825024,0.0,0.3246271949174976,0.7966695699714539,0.8121653630557161,0.42865966646077824,0.432255360451778,-0.0035956939909997376,0.567744639548222,0.650190863324279,0.7456075667822661
