TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,RF TPR Drop,MLP TPR,MLP TPR Drop,RF TPR SD,RF TPR Drop SD,MLP TPR SD,MLP TPR Drop SD,RF TPR Drop CI Low,RF TPR Drop CI High,MLP TPR Drop CI Low,MLP TPR Drop CI High
dttl,5,DoS,4089.0,0.3424309122034727,-0.00039129371484470933,0.7401809733431157,0.0033259965761799903,0.08051798967187775,0.0002788396735385515,0.2202539221380419,0.00238742281474507,-0.0007374633937327886,-4.51240359566301e-05,0.00036209485207288564,0.006289898300287095
dttl,5,Exploits,11132.0,0.4659899389148401,-0.0008084800574919004,0.6395616241466044,0.006845131153431538,0.06431313920776037,0.0009591338710053229,0.1040566728541362,0.002113800830000032,-0.0019992111321740997,0.0003822510171902988,0.004220921530501754,0.009469340776361322
dttl,5,Fuzzers,6062.0,0.5957109864731112,0.0,0.48053447707027386,0.015473441108545028,0.007126284565251775,0.0,0.04943483825942278,0.0028438616878271135,0.0,0.0,0.011942886525747775,0.01900399569134228
dttl,5,Generic,18871.0,0.984144984367548,-3.1794817444730227e-05,0.7566000741879073,0.0038683694557787194,0.004507288415300896,2.9024564543729183e-05,0.2355435789980938,0.00345522375666033,-6.782779675669293e-05,4.238161867232477e-06,-0.00042116970179815593,0.008157908613355594
dttl,5,Reconnaissance,3496.0,0.36024027459954233,-0.00011441647597254523,0.5052059496567505,0.006864988558352392,0.01227580017403826,0.00015667121210102716,0.06888409941578064,0.002393192295578025,-0.00030891829307684755,8.008534113175712e-05,0.00389392422606278,0.009836052890642004
dttl,5,Shellcode,378.0,0.3941798941798942,0.0,0.4851851851851852,0.013227513227513244,0.0,0.0,0.049088155255280916,0.004949282257637503,0.0,0.0,0.007083152821009011,0.019371873634017475
dttl,5,Worms,44.0,0.4045454545454545,-0.004545454545454552,0.5045454545454546,0.013636363636363636,0.0406557814090871,0.010163945352271787,0.08099331673275212,0.020327890704543546,-0.017163636363636388,0.008072727272727283,-0.011600000000000001,0.038872727272727274
dttl,10,Analysis,677.0,0.7805022156573117,0.0,0.9453471196454949,0.0011816838995569068,0.01395844567790539,0.0,0.09449431374630404,0.0012358346034476813,0.0,0.0,-0.00035256143363135276,0.0027159292327451666
dttl,10,Backdoor,583.0,0.9077186963979417,0.0,0.9519725557461406,0.0003430531732418585,0.01447342923480552,0.0,0.028804212047592887,0.0007670902152658075,0.0,0.0,-0.0006092624356775407,0.0012953687821612575
dttl,10,DoS,4089.0,0.3424309122034727,-0.00039129371484470933,0.7401809733431157,0.0033259965761799903,0.08051798967187775,0.0002788396735385515,0.2202539221380419,0.00238742281474507,-0.0007374633937327886,-4.51240359566301e-05,0.00036209485207288564,0.006289898300287095
dttl,10,Exploits,11132.0,0.4659899389148401,-0.0008084800574919004,0.6395616241466044,0.006845131153431538,0.06431313920776037,0.0009591338710053229,0.1040566728541362,0.002113800830000032,-0.0019992111321740997,0.0003822510171902988,0.004220921530501754,0.009469340776361322
dttl,10,Fuzzers,6062.0,0.5957109864731112,0.0,0.48053447707027386,0.015473441108545028,0.007126284565251775,0.0,0.04943483825942278,0.0028438616878271135,0.0,0.0,0.011942886525747775,0.01900399569134228
dttl,10,Generic,18871.0,0.984144984367548,-3.1794817444730227e-05,0.7566000741879073,0.0038683694557787194,0.004507288415300896,2.9024564543729183e-05,0.2355435789980938,0.00345522375666033,-6.782779675669293e-05,4.238161867232477e-06,-0.00042116970179815593,0.008157908613355594
dttl,10,Reconnaissance,3496.0,0.36024027459954233,-0.00011441647597254523,0.5052059496567505,0.006864988558352392,0.01227580017403826,0.00015667121210102716,0.06888409941578064,0.002393192295578025,-0.00030891829307684755,8.008534113175712e-05,0.00389392422606278,0.009836052890642004
