Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR
2026,sttl,-5,Analysis,677,0.7828655834564254,0.7740029542097489
2026,sttl,-5,Backdoor,583,0.9125214408233276,0.8987993138936535
2026,sttl,-5,DoS,4089,0.32452922474932744,0.3262411347517731
2026,sttl,-5,Exploits,11132,0.42184692777578153,0.44933524973050665
2026,sttl,-5,Fuzzers,6062,0.5965028043549984,0.4440778620917189
2026,sttl,-5,Generic,18871,0.9870171162100577,0.39303693497959835
2026,sttl,-5,Reconnaissance,3496,0.35697940503432496,0.3647025171624714
2026,sttl,-5,Shellcode,378,0.3941798941798942,0.3941798941798942
2026,sttl,-5,Worms,44,0.4772727272727273,0.3409090909090909
2026,sttl,-2,Analysis,677,0.7828655834564254,0.7740029542097489
2026,sttl,-2,Backdoor,583,0.9125214408233276,0.9005145797598628
2026,sttl,-2,DoS,4089,0.32452922474932744,0.3343115676204451
2026,sttl,-2,Exploits,11132,0.42184692777578153,0.4514911965504851
2026,sttl,-2,Fuzzers,6062,0.5965028043549984,0.4519960409105906
2026,sttl,-2,Generic,18871,0.9870171162100577,0.39346086587886175
2026,sttl,-2,Reconnaissance,3496,0.35697940503432496,0.3687070938215103
2026,sttl,-2,Shellcode,378,0.3941798941798942,0.3888888888888889
2026,sttl,-2,Worms,44,0.4772727272727273,0.3409090909090909
2026,sttl,0,Analysis,677,0.7858197932053176,0.7754800590841949
2026,sttl,0,Backdoor,583,0.9193825042881647,0.9005145797598628
2026,sttl,0,DoS,4089,0.3763756419662509,0.33944729762778186
2026,sttl,0,Exploits,11132,0.5514732303269853,0.45427596119295727
2026,sttl,0,Fuzzers,6062,0.5983173870009898,0.4577697129660178
2026,sttl,0,Generic,18871,0.9884478829950718,0.39346086587886175
2026,sttl,0,Reconnaissance,3496,0.3641304347826087,0.3715675057208238
2026,sttl,0,Shellcode,378,0.3941798941798942,0.3888888888888889
2026,sttl,0,Worms,44,0.4772727272727273,0.3409090909090909
2026,sttl,2,Analysis,677,0.7828655834564254,0.7754800590841949
2026,sttl,2,Backdoor,583,0.9176672384219554,0.9005145797598628
2026,sttl,2,DoS,4089,0.3533871362191245,0.3406700904866716
2026,sttl,2,Exploits,11132,0.5445562342795545,0.4553539346029465
2026,sttl,2,Fuzzers,6062,0.5966677664137249,0.45941933355328274
2026,sttl,2,Generic,18871,0.988288908907848,0.3934078745164538
2026,sttl,2,Reconnaissance,3496,0.3609839816933638,0.3721395881006865
2026,sttl,2,Shellcode,378,0.3941798941798942,0.3888888888888889
2026,sttl,2,Worms,44,0.4772727272727273,0.3409090909090909
2026,sttl,5,Analysis,677,0.7828655834564254,0.7754800590841949
2026,sttl,5,Backdoor,583,0.9176672384219554,0.9005145797598628
2026,sttl,5,DoS,4089,0.3533871362191245,0.3409146490584495
2026,sttl,5,Exploits,11132,0.5445562342795545,0.45589292130794107
2026,sttl,5,Fuzzers,6062,0.5966677664137249,0.45941933355328274
2026,sttl,5,Generic,18871,0.988288908907848,0.3934078745164538
2026,sttl,5,Reconnaissance,3496,0.3609839816933638,0.3721395881006865
2026,sttl,5,Shellcode,378,0.3941798941798942,0.3888888888888889
2026,sttl,5,Worms,44,0.4772727272727273,0.3409090909090909
2026,sttl,10,Analysis,677,0.7828655834564254,0.7754800590841949
2026,sttl,10,Backdoor,583,0.9176672384219554,0.9005145797598628
2026,sttl,10,DoS,4089,0.3533871362191245,0.3409146490584495
2026,sttl,10,Exploits,11132,0.5445562342795545,0.4562522457779375
2026,sttl,10,Fuzzers,6062,0.5966677664137249,0.45941933355328274
2026,sttl,10,Generic,18871,0.988288908907848,0.3934078745164538
2026,sttl,10,Reconnaissance,3496,0.3609839816933638,0.3721395881006865
