Seed,TTL Feature,Perturbation (%),RF TPR,RF TPR Drop,RF Evasion Rate,RF AUROC,RF AUPRC,MLP TPR,MLP TPR Drop,MLP Evasion Rate,MLP AUROC,MLP AUPRC
42,dttl,10,0.6698358775258095,-0.0005514868084356417,0.3301641224741904,0.802442189575528,0.8171904210803529,0.6558942910085591,0.007191387981999475,0.34410570899144094,0.8434103678923786,0.8767423030567618
42,dttl,15,0.6698358775258095,-0.0005514868084356417,0.3301641224741904,0.802442189575528,0.8171904210803529,0.6558942910085591,0.007191387981999475,0.34410570899144094,0.843410771521102,0.8767441601151329
123,sttl,-15,0.6910129709697344,-0.03754522191829179,0.3089870290302656,0.816952418612471,0.8245957018162973,0.6083340686490779,-0.10698844083649517,0.3916659313509221,0.8356400639366977,0.8653760651688981
123,sttl,-10,0.6910129709697344,-0.03754522191829179,0.3089870290302656,0.816952418612471,0.8245957018162973,0.6494308656136946,-0.06589164387187851,0.3505691343863055,0.8438292930714177,0.8729034046299603
123,sttl,-5,0.6910129709697344,-0.03754522191829179,0.3089870290302656,0.816952418612471,0.8245957018162973,0.6861378275831642,-0.02918468190240886,0.3138621724168358,0.8514840456356825,0.8800086022328593
123,sttl,-2,0.6910129709697344,-0.03754522191829179,0.3089870290302656,0.8169534497437524,0.8245993665999909,0.7055281037677579,-0.009794405717815202,0.2944718962322421,0.8564200412690993,0.8846544066705982
123,sttl,0,0.7285581928880261,0.0,0.27144180711197385,0.8209898434015945,0.8325798009851084,0.7153225094855731,0.0,0.28467749051442687,0.8594066133105663,0.8874919023149306
123,sttl,2,0.724366893143916,-0.004191299744110144,0.275633106856084,0.8208262771838282,0.8323438096437513,0.7169769699108798,0.001654460425306703,0.2830230300891203,0.8599415704197977,0.8880152189116914
123,sttl,5,0.724366893143916,-0.004191299744110144,0.275633106856084,0.820792908356605,0.8323268141835082,0.7171755051619165,0.0018529956763434496,0.2828244948380835,0.8598163906649081,0.8879230060089119
123,sttl,10,0.724366893143916,-0.004191299744110144,0.275633106856084,0.8207928776522044,0.8323267975620434,0.7173078619959411,0.0019853525103680214,0.28269213800405896,0.859621936118153,0.8877767504601568
123,sttl,15,0.724366893143916,-0.004191299744110144,0.275633106856084,0.8207928776522044,0.8323267975620434,0.717616694608665,0.002294185123091874,0.28238330539133505,0.859417790308618,0.8876205867904218
123,dttl,-15,0.7285581928880261,0.0,0.27144180711197385,0.8209900952969205,0.8325800347559587,0.6626003705991352,-0.05272213888643784,0.3373996294008647,0.859207075545942,0.8886892966219505
123,dttl,-10,0.7285581928880261,0.0,0.27144180711197385,0.8209900952969205,0.8325800347559587,0.6825200741198271,-0.03280243536574601,0.31747992588017293,0.8598220292448984,0.8886689624000765
123,dttl,-5,0.7285581928880261,0.0,0.27144180711197385,0.8209900952969205,0.8325800347559587,0.6980278831730345,-0.01729462631253853,0.3019721168269655,0.8601087928460536,0.8884924829372061
123,dttl,-2,0.7285581928880261,0.0,0.27144180711197385,0.8209900952969205,0.8325800347559587,0.7098076414012177,-0.005514868084355418,0.29019235859878234,0.8601420120265859,0.8882923693834377
123,dttl,0,0.7285581928880261,0.0,0.27144180711197385,0.8209898434015945,0.8325798009851084,0.7153225094855731,0.0,0.28467749051442687,0.8594066133105663,0.8874919023149306
