Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR,RF Clean TPR,MLP Clean TPR,RF TPR Drop,MLP TPR Drop
42,dttl,-5,Analysis,677,0.7769571639586411,0.9896602658788775,0.7769571639586411,0.9926144756277696,0.0,-0.002954209748892156
42,dttl,-5,Backdoor,583,0.902229845626072,0.9639794168096055,0.902229845626072,0.9656946826758147,0.0,-0.0017152658662091813
42,dttl,-5,DoS,4089,0.27879677182685253,0.8173147468818782,0.27879677182685253,0.8256297383223282,0.0,-0.008314991440450004
42,dttl,-5,Exploits,11132,0.41699604743083,0.6277398490837226,0.41699604743083,0.647502694933525,0.0,-0.01976284584980237
42,dttl,-5,Fuzzers,6062,0.592708677004289,0.45694490267238536,0.592708677004289,0.49934015176509405,0.0,-0.0423952490927087
42,dttl,-5,Generic,18871,0.9771607228021832,0.6674792008902549,0.9771607228021832,0.6614381855757512,0.0,0.006041015314503739
42,dttl,-5,Reconnaissance,3496,0.3504004576659039,0.5071510297482837,0.3504004576659039,0.5334668192219679,0.0,-0.02631578947368418
42,dttl,-5,Shellcode,378,0.3941798941798942,0.48677248677248675,0.3941798941798942,0.5105820105820106,0.0,-0.023809523809523836
42,dttl,-5,Worms,44,0.38636363636363635,0.45454545454545453,0.38636363636363635,0.4772727272727273,0.0,-0.022727272727272763
42,dttl,-2,Analysis,677,0.7769571639586411,0.9911373707533235,0.7769571639586411,0.9926144756277696,0.0,-0.001477104874446078
42,dttl,-2,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
42,dttl,-2,DoS,4089,0.27879677182685253,0.8229395940327708,0.27879677182685253,0.8256297383223282,0.0,-0.0026901442895573835
42,dttl,-2,Exploits,11132,0.41699604743083,0.6399568810636004,0.41699604743083,0.647502694933525,0.0,-0.007545813869924589
42,dttl,-2,Fuzzers,6062,0.592708677004289,0.48003959089409437,0.592708677004289,0.49934015176509405,0.0,-0.019300560870999683
42,dttl,-2,Generic,18871,0.9771607228021832,0.6682210799639658,0.9771607228021832,0.6614381855757512,0.0,0.006782894388214666
42,dttl,-2,Reconnaissance,3496,0.3504004576659039,0.5251716247139588,0.3504004576659039,0.5334668192219679,0.0,-0.008295194508009085
42,dttl,-2,Shellcode,378,0.3941798941798942,0.5079365079365079,0.3941798941798942,0.5105820105820106,0.0,-0.002645502645502673
42,dttl,-2,Worms,44,0.38636363636363635,0.4772727272727273,0.38636363636363635,0.4772727272727273,0.0,0.0
42,dttl,0,Analysis,677,0.7769571639586411,0.9926144756277696,0.7769571639586411,0.9926144756277696,0.0,0.0
42,dttl,0,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
42,dttl,0,DoS,4089,0.27879677182685253,0.8256297383223282,0.27879677182685253,0.8256297383223282,0.0,0.0
42,dttl,0,Exploits,11132,0.41699604743083,0.647502694933525,0.41699604743083,0.647502694933525,0.0,0.0
42,dttl,0,Fuzzers,6062,0.592708677004289,0.49934015176509405,0.592708677004289,0.49934015176509405,0.0,0.0
42,dttl,0,Generic,18871,0.9771607228021832,0.6614381855757512,0.9771607228021832,0.6614381855757512,0.0,0.0
42,dttl,0,Reconnaissance,3496,0.3504004576659039,0.5334668192219679,0.3504004576659039,0.5334668192219679,0.0,0.0
42,dttl,0,Shellcode,378,0.3941798941798942,0.5105820105820106,0.3941798941798942,0.5105820105820106,0.0,0.0
42,dttl,0,Worms,44,0.38636363636363635,0.4772727272727273,0.38636363636363635,0.4772727272727273,0.0,0.0
42,dttl,2,Analysis,677,0.7769571639586411,0.9926144756277696,0.7769571639586411,0.9926144756277696,0.0,0.0
42,dttl,2,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
42,dttl,2,DoS,4089,0.27855221325507457,0.8278307654683297,0.27879677182685253,0.8256297383223282,-0.00024455857177796414,0.002201027146001455
42,dttl,2,Exploits,11132,0.4152892561983471,0.6520840819259791,0.41699604743083,0.647502694933525,-0.001706791232482907,0.0045813869924541395
42,dttl,2,Fuzzers,6062,0.592708677004289,0.5161662817551963,0.592708677004289,0.49934015176509405,0.0,0.016826129990102245
42,dttl,2,Generic,18871,0.9771077314397754,0.6689629590376769,0.9771607228021832,0.6614381855757512,-5.299136240788371e-05,0.0075247734619257045
42,dttl,2,Reconnaissance,3496,0.3501144164759725,0.5380434782608695,0.3504004576659039,0.5334668192219679,-0.00028604118993136307,0.004576659038901587
42,dttl,2,Shellcode,378,0.3941798941798942,0.5264550264550265,0.3941798941798942,0.5105820105820106,0.0,0.015873015873015928
42,dttl,2,Worms,44,0.38636363636363635,0.4772727272727273,0.38636363636363635,0.4772727272727273,0.0,0.0
42,dttl,5,Analysis,677,0.7769571639586411,0.9926144756277696,0.7769571639586411,0.9926144756277696,0.0,0.0
42,dttl,5,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
42,dttl,5,DoS,4089,0.27855221325507457,0.8278307654683297,0.27879677182685253,0.8256297383223282,-0.00024455857177796414,0.002201027146001455
42,dttl,5,Exploits,11132,0.4152892561983471,0.6520840819259791,0.41699604743083,0.647502694933525,-0.001706791232482907,0.0045813869924541395
42,dttl,5,Fuzzers,6062,0.592708677004289,0.5161662817551963,0.592708677004289,0.49934015176509405,0.0,0.016826129990102245
42,dttl,5,Generic,18871,0.9771077314397754,0.6689629590376769,0.9771607228021832,0.6614381855757512,-5.299136240788371e-05,0.0075247734619257045
42,dttl,5,Reconnaissance,3496,0.3501144164759725,0.5380434782608695,0.3504004576659039,0.5334668192219679,-0.00028604118993136307,0.004576659038901587
42,dttl,5,Shellcode,378,0.3941798941798942,0.5264550264550265,0.3941798941798942,0.5105820105820106,0.0,0.015873015873015928
42,dttl,5,Worms,44,0.38636363636363635,0.4772727272727273,0.38636363636363635,0.4772727272727273,0.0,0.0
42,dttl,10,Analysis,677,0.7769571639586411,0.9926144756277696,0.7769571639586411,0.9926144756277696,0.0,0.0
42,dttl,10,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
